ID,Country,Region,City,Latitude,Longitude
473,Russian Federation,Irkutsk Oblast,Irkutsk,52.2891225,104.279829
474,Russian Federation,Kemerovo Oblast,Novokuznetsk,53.7575903,87.1358494
475,Russian Federation,Orenburg Oblast,Orenburg,51.7671248,55.0978517
476,Russian Federation,Ryazan Oblast,Ryazan,54.6295687,39.7425039
477,Russian Federation,Penza Oblast,Penza,53.1937836,45.006741250609664
478,Russian Federation,Tyumen Oblast,Tyumen,57.153534,65.542274
479,Russian Federation,Nizhny Novgorod Oblast,Nizhny Novgorod,56.27692915,43.92129807149434
480,Romania,Brăila,Brăila,45.2716092,27.9742932
481,Romania,Vrancea,Focșani,45.697274,27.1856921
482,Sweden,Västmanlands län,Västerås,59.6110992,16.5463679
483,-,-,-,N/A,N/A
484,Kyrgyzstan,Chui Province,Bishkek,42.94953645,74.59809553242403
485,Uzbekistan,Tashkent,Tashkent,41.2932886,69.2877212
486,Kazakhstan,East Kazakhstan,Semipalatinsk,N/A,N/A
487,United States of America,Texas,Houston,29.7589382,-95.3676974
488,Tajikistan,Districts of Republican Subordination,Dushanbe,39.1432503,69.697308
489,-,-,-,N/A,N/A
490,Mongolia,-,Ulaanbaatar,47.9184676,106.9177016
491,Kazakhstan,Astana,Astana,51.1282205,71.4306682
492,-,-,-,N/A,N/A
493,Spain,Basque Country,Hondarribia,43.3624468,-1.7914309
494,Iran,Hamadan,Hamedan,34.7992888,48.5152464
495,Sweden,Jämtlands län,Östersund,63.1793655,14.6357061
496,Sweden,Norrbottens län,Luleå,65.5831187,22.1459535
497,Niger,Niamey,Niamey,13.534712800000001,2.01268986831725
498,Angola,Luanda,Luanda,-8.8272699,13.2439512
499,Algeria,Constantine,Constantine,36.3641642,6.6084281
500,Mali,Bamako District,Bamako,12.61326555,-7.984739136241295
501,Egypt,Suez Governorate,Suez,29.974498,32.537086
502,Tunisia,Tunis,Tunis,36.8002068,10.1857757
503,Congo-Kinshasa,Katanga,Lubumbashi,-11.6642316,27.4826264
504,Egypt,Port Said Governorate,Port Said,31.263235,32.305505
505,-,-,-,N/A,N/A
506,Liberia,Montserrado County,Monrovia,6.328034,-10.797788
507,Mozambique,Maputo,Matola,-25.966917,32.466956
508,-,-,-,N/A,N/A
509,Central African Republic,Ombella M'Poko,Bangui,4.39904215,18.59608043286925
510,Zambia,Lusaka Province,Lusaka,-15.4163395,28.2818414
511,South Africa,KwaZulu-Natal,Durban,-29.861825,31.009909
512,Burkina Faso,Centre,Ouagadougou,12.3681873,-1.5270944
513,Nigeria,Delta,Warri,5.5186186,5.7480196
514,Côte d'Ivoire,Vallée du Bandama,Bouaké,7.6890212,-5.0283552
515,Egypt,Alexandria Governorate,Alexandria,31.1991806,29.8951716
516,Chad,N'Djamena Region,N'Djamena,12.163872641963609,15.127935864705604
517,-,-,-,N/A,N/A
518,Tanzania,Dar es Salaam,Dar es Salaam,-6.807654449999999,39.286938046328814
519,Congo-Kinshasa,Kasaï-Oriental,Mbuji-Mayi,-6.1258942,23.5998111
520,Nigeria,Oyo,Oyo,7.8410537,3.9315363
521,Senegal,-,Dakar,14.693425,-17.447938
522,-,-,-,N/A,N/A
523,South Africa,Gauteng,Soweto,-26.2227778,27.89
524,-,-,-,N/A,N/A
525,Nigeria,Oyo,Ogbomosho,8.133,4.25
526,Sierra Leone,Western Area,Freetown,8.479004,-13.26795
527,Guinea,Conakry,Conakry,9.576551250000001,-13.613075755188323
528,Nigeria,Rivers,Port Harcourt,4.7676576,7.0188527
529,Nigeria,Oyo,Ibadan,7.3786064,3.8969928
530,Gabon,Estuaire,Libreville,0.4086518,9.4418849
531,-,-,-,N/A,N/A
532,Ethiopia,Addis Ababa,Addis Abeba,9.0358287,38.7524127
533,Morocco,-,Agadir,30.4205162,-9.5838532
534,Ghana,Greater Accra Region,Accra,5.5571096,-0.2012376
535,Mozambique,Maputo,Maputo,-26.079197100000002,32.79445056712309
536,-,-,-,N/A,N/A
537,Djibouti,Djibouti,Djibouti,11.6012642,43.1379517
538,Nigeria,Kwara,Ilorin,8.4963657,4.5480484
539,Nigeria,Kaduna,Kaduna,10.5182899,7.4359863
540,Algeria,Oran,Oran,35.7044415,-0.6502981
541,Kenya,Nairobi,Nairobi,-1.3026148499999999,36.82884201813725
542,Nigeria,Enugu,Enugu,6.4499833,7.5000007
543,-,-,-,N/A,N/A
544,Nigeria,Ogun,Abeokuta,7.161,3.348
545,Nigeria,Borno,Maiduguri,11.8395375,13.1536214
546,-,-,-,N/A,N/A
547,Malawi,Southern,Blantyre,-15.7862543,35.0035694
548,Madagascar,-,Antananarivo,-18.9100122,47.5255809
549,Sudan,al-Khartum,Khartoum,15.6061345,32.50834790689537
550,Libya,Benghazi,Benghazi,32.1141777,20.059433490625736
551,Egypt,Giza Governorate,Giza,29.9870753,31.2118063
552,Nigeria,Lagos,Lagos,6.4550575,3.3941795
553,Sweden,Örebro län,Örebro,59.2747287,15.2151181
554,-,-,-,N/A,N/A
555,Cape Verde,-,Praia,14.9162811,-23.5095095
556,-,-,-,N/A,N/A
557,-,-,-,N/A,N/A
558,United States of America,Louisiana,New Orleans,29.9759983,-90.0782127
559,-,-,-,N/A,N/A
560,-,-,-,N/A,N/A
561,-,-,-,N/A,N/A
562,-,-,-,N/A,N/A
563,-,-,-,N/A,N/A
564,-,-,-,N/A,N/A
565,South Africa,Mpumalanga,Secunda,-26.516111,29.202778
566,-,-,-,N/A,N/A
567,-,-,-,N/A,N/A
568,-,-,-,N/A,N/A
569,Spain,Comunidad Foral de Navarra,Pamplona,42.8181992,-1.6440089
570,Canada,Manitoba,Selkirk,50.146986,-96.880188
571,Poland,Silesian Voivodeship,Gliwice,50.30113145,18.662347227971978
572,-,-,-,N/A,N/A
573,Spain,Canary Islands,Santa Cruz de Tenerife,28.467178,-16.2507843
574,Germany,North Rhine-Westphalia,Siegen,50.8751175,8.0256131
575,Finland,-,Oulu,65.0118734,25.4716809
576,Iran,Alborz,Nazarabad,35.9558897,50.6097443
577,Poland,Silesian Voivodeship,Tarnowskie Góry,50.4445194,18.8554757
578,Israel,Jerusalem District,Jerusalem,31.7788242,35.2257626
579,Croatia,-,Rijeka,45.3267976,14.442208
580,Spain,Castile and León,Segovia,40.9481192,-4.1172101
581,Spain,Castile and León,Valladolid,41.6521807,-4.728605
582,Australia,Western Australia,Perth,-31.9558933,115.8605855
583,Spain,Canary Islands,Las Palmas de Gran Canaria,28.1288694,-15.4349015
584,Cyprus,-,Paphos,34.7743988,32.4231586
585,-,-,-,N/A,N/A
586,Australia,Northern Territory,Alice Springs,-23.6983884,133.8812885
587,Australia,South Australia,Coober Pedy,-29.0133682,134.7536164
588,Australia,South Australia,Port Augusta,-32.4908819,137.7639874
589,Australia,Queensland,Cairns,-16.9206657,145.7721854
590,United States of America,Louisiana,Shreveport,32.5135356,-93.7477839
591,Greece,-,Heraklion,35.33908,25.1332843
592,Latvia,Courland,Ventspils,N/A,N/A
593,United States of America,Washington,Seattle,47.6038321,-122.330062
594,Poland,Silesian Voivodeship,Chorzów,50.2978791,18.9544466
595,Canada,Alberta,Red Deer,52.2690628,-113.8141464
596,The Netherlands,Drenthe,Assen,52.9952273,6.560498
597,Canada,Alberta,Brooks,50.571027,-111.893005
598,Canada,Alberta,Medicine Hat,50.04303,-110.679016
599,Germany,North Rhine-Westphalia,Neuss,51.1981778,6.6916476
600,Austria,Carinthia,Klagenfurt,46.623943,14.3075976
601,Estonia,-,Tallinn,59.4372155,24.7453688
602,Australia,New South Wales,Goulburn,-34.7523871,149.7198009
603,Congo-Kinshasa,Kongo-Central,Mbanza-Ngungu,-5.2500086,14.8666614
604,Congo-Kinshasa,Kongo-Central,Matadi,-5.8256559,13.4609047
605,Congo-Kinshasa,Kongo-Central,Boma,-5.85,13.05
606,Congo-Kinshasa,Équateur,Makanza,1.6084795,19.1034796
607,Congo-Kinshasa,Équateur,Mbandaka,0.0470732,18.2564803
608,Congo-Kinshasa,Bandundu,Bolobo,-3.326188113961697,17.36926456571354
609,Congo-Kinshasa,Orientale,Kisangani,N/A,N/A
610,Canada,Alberta,Edmonton,53.5462055,-113.491241
611,-,-,-,N/A,N/A
612,Egypt,Asyut Governorate,Asyut,27.1832822,31.1853836
613,Nepal,Western Development Region,Pokhara,N/A,N/A
614,Uzbekistan,Bukhara Province,Bukhara,39.7675529,64.4231326
615,United States of America,Michigan,Port Huron,42.9760854,-82.4333742
616,United States of America,Wisconsin,Madison,43.074761,-89.3837613
617,-,-,-,N/A,N/A
618,Bosnia and Herzegovina,-,Mostar,43.3435855,17.8076584
619,Ukraine,Donetsk Oblast,Mariupol,47.0957648,37.5499621
620,Russian Federation,Rostov Oblast,Taganrog,47.2153657,38.9285216
621,Canada,Saskatchewan,Yorkton,51.212045,-102.461243
622,Poland,Lublin Voivodeship,Lublin,51.218194499999996,22.554677562145155
623,-,-,-,N/A,N/A
624,-,-,-,N/A,N/A
625,United States of America,Wisconsin,Fond du Lac,43.7533414,-88.4493796
626,-,-,-,N/A,N/A
627,Poland,Łódź Voivodeship,Łódź,51.7728245,19.47848567915817
628,-,-,-,N/A,N/A
629,-,-,-,N/A,N/A
630,Germany,Lower Saxony,Brunswick,52.2646577,10.5236066
631,Canada,British Columbia,Victoria,48.4283182,-123.364953
632,United States of America,South Carolina,Greenville,34.851354,-82.3984882
633,South Africa,Eastern Cape,East London,-33.0191604,27.8998573
634,South Africa,KwaZulu-Natal,Pietermaritzburg,-29.6,30.3788889
635,South Africa,Mpumalanga,Nelspruit,-25.4729094,30.9772719
636,-,-,-,N/A,N/A
637,South Africa,KwaZulu-Natal,Richards Bay,-28.7707857,32.0577775
638,South Africa,Eastern Cape,Grahamstown,-33.3070589,26.5272648
639,-,-,-,N/A,N/A
640,Germany,North Rhine-Westphalia,Recklinghausen,51.6143815,7.1978546
641,South Africa,Mpumalanga,Emalahleni,-25.8762409,29.2099962
642,-,-,-,N/A,N/A
643,Mexico,Quintana Roo,Cancún,21.1527467,-86.8425761
644,Latvia,Latgale,Daugavpils,N/A,N/A
645,South Africa,Limpopo,Louis Trichardt,-23.038326,29.906665
646,South Africa,North West,Rustenburg,-25.665655,27.241448
647,Norway,Rogaland,Stavanger,58.9699675,5.7318101
648,Hungary,-,Szeged,46.2546312,20.1486016
649,Australia,Western Australia,Tom Price,-22.6892972,117.7974898
650,Lesotho,-,Maseru,-29.310054,27.478222
651,South Africa,Free State,Botshabelo,-29.232412,26.733255
652,South Africa,KwaZulu-Natal,Newcastle,-27.7544581,29.932561
653,Botswana,South-East District,Gaborone,-24.640783499999998,25.959585685428397
654,-,-,-,N/A,N/A
655,Brazil,São Paulo,São Paulo,-23.5506507,-46.6333824
656,Australia,Western Australia,Kalgoorlie,-30.7464139,121.473223
657,-,-,-,N/A,N/A
658,Spain,Galicia,Ourense,42.1939629,-7.53712401397051
659,Finland,-,Vantaa,60.2933337,25.0407809
660,Australia,Victoria,Mildura,-34.195274,142.1503146
661,Spain,Catalonia,Girona,41.9793006,2.8199439
662,-,-,-,N/A,N/A
663,Canada,Quebec,Quebec,46.8137431,-71.2084061
664,Philippines,Pangasinan,Urdaneta,15.9759995,120.5668992
665,Philippines,Tarlac,Tarlac,15.4861218,120.5893473
666,Australia,Victoria,Bendigo,-36.7590183,144.2826718
667,Ghana,Northern Region,Tamale,9.4051992,-0.8423986
668,Finland,-,Tampere,61.4980214,23.7603118
669,Finland,-,Kuopio,62.8924601,27.6781839
670,Finland,-,Lahti,60.9826014,25.6613764
671,Finland,-,Joensuu,62.6005753,29.7622128
672,Finland,-,Kotka,60.4674228,26.9450844
673,Finland,-,Kouvola,60.8680928,26.7038517
674,Finland,-,Lappeenranta,61.0583713,28.1862742
675,Finland,-,Seinäjoki,62.7954104,22.8442015
676,Finland,-,Hämeenlinna,60.9948584,24.46654
677,Finland,-,Rovaniemi,66.5025657,25.73122
678,Finland,-,Salo,60.3846716,23.1286377
679,Finland,-,Mikkeli,61.6877956,27.2726569
680,Bulgaria,-,Blagoevgrad,41.750287,23.48734109762355
681,Bulgaria,-,Burgas,42.5040226,27.35496958498066
682,Bulgaria,-,Dobrich,43.66377745,27.90021225939759
683,Bulgaria,-,Gabrovo,42.9638895,25.211953846464205
684,Bulgaria,-,Haskovo,41.763101000000006,25.92562551247896
685,Bulgaria,-,Yambol,42.311889,26.56368518811275
686,Bulgaria,-,Kardzhali,41.56876,25.394856878
687,Bulgaria,-,Kyustendil,42.334942749999996,22.88841163833711
688,Bulgaria,-,Lovech,43.0444495,24.491024865164775
689,Bulgaria,-,Montana,43.4088984,23.2203193
690,Bulgaria,-,Pazardzhik,42.1486841,24.153187147015288
691,Bulgaria,-,Pernik,42.628442,22.882311866811484
692,Bulgaria,-,Pleven,43.4809895,24.606066460370798
693,Bulgaria,-,Razgrad,43.6394793,26.702240837599298
694,Bulgaria,-,Silistra,43.90626785,27.070640964882564
695,Bulgaria,-,Sliven,42.64169,26.263428283625732
696,Bulgaria,-,Smolyan,41.624097,24.59133038989479
697,Bulgaria,-,Targovishte,43.253011099999995,26.414188371736522
698,Bulgaria,-,Varna,43.2052135,27.860202452255194
699,Bulgaria,-,Veliko Tarnovo,43.0820584,25.6321312
700,Bulgaria,-,Vidin,43.9858809,22.8773117
701,Bulgaria,-,Vratsa,43.400307,23.71667498129252
702,Germany,Lower Saxony,Wolfsburg,52.4205588,10.7861682
703,Nigeria,Federal Capital Territory,Abuja,9.0643305,7.4892974
704,China,Tibet Autonomous Region,Lhasa,29.6542054,91.1173015
705,United Arab Emirates,Dubai,Dubai,25.074282349999997,55.18853865430702
706,Norway,West Agder,Kristiansand,N/A,N/A
707,Norway,Sør-Trøndelag,Trondheim,N/A,N/A
708,United States of America,Virginia,Harrisonburg,38.4493315,-78.8688833
709,Spain,Valencian Community,Torrevieja,37.9775416,-0.6828446
710,Poland,Kuyavian-Pomeranian Voivodeship,Bydgoszcz,N/A,N/A
711,Poland,Pomeranian Voivodeship,Słupsk,N/A,N/A
712,Poland,West Pomeranian Voivodeship,Koszalin,N/A,N/A
713,Egypt,Qalyubia Governorate,Banha,30.4624974,31.184063
714,-,-,-,N/A,N/A
715,Greece,-,Rethymno,35.3676472,24.4736079
716,Greece,-,Chania,35.5120831,24.0191544
717,-,-,-,N/A,N/A
718,Spain,Castile and León,León,42.5989995,-5.5682413
719,Australia,Queensland,Townsville,-19.2569391,146.8239537
720,Poland,Podlaskie Voivodeship,Suwałki,54.102712499999996,22.931878217494493
721,Poland,Pomeranian Voivodeship,Sopot,54.4430399,18.561309520130756
722,Poland,Warmian-Masurian Voivodeship,Elbląg,54.1988997,19.44108568736702
723,United States of America,Nevada,Las Vegas,36.2533896,-115.2794366262601
724,Poland,Podlaskie Voivodeship,Łomża,53.18243065,22.052183817808846
725,Egypt,Dakahlia Governorate,Mansoura,31.040777249999998,31.35812949882739
726,Egypt,Gharbiyya Governorate,Mahalla al Kubra,30.9723517,31.1683002
727,Egypt,Kafr el-Sheikh Governorate,Kafr Al-Sheikh,31.1089385,30.9426981
728,Poland,Warmian-Masurian Voivodeship,Iława,53.59610885,19.576102569072468
729,-,-,-,N/A,N/A
730,Poland,Lublin Voivodeship,Biała Podlaska,52.029031849999996,23.14940947957289
731,Poland,Lower Silesian Voivodeship,Legnica,51.2081617,16.1603187
732,Poland,Masovian Voivodeship,Radom,51.41716055,21.160944780832743
733,-,-,-,N/A,N/A
734,Poland,Subcarpathian Voivodeship,Tarnobrzeg,50.5729327,21.6791667
735,Poland,Świętokrzyskie Voivodeship,Sandomierz,50.6793066,21.7495055
736,Poland,Silesian Voivodeship,Katowice,50.2137321,19.00588775660632
737,Poland,Silesian Voivodeship,Częstochowa,50.8120466,19.113213
738,Poland,Silesian Voivodeship,Będzin,50.3230785,19.1322201
739,Poland,Silesian Voivodeship,Zabrze,50.31428055,18.781576310579183
740,Poland,Lower Silesian Voivodeship,Wałbrzych,50.785221,16.284640336127822
741,Poland,Silesian Voivodeship,Ruda Śląska,50.27034825,18.864387901747556
742,Germany,Rhineland-Palatinate,Trier,49.7596208,6.6441878
743,Germany,Baden-Württemberg,Reutlingen,48.4919508,9.2114144
744,North Korea,Pyongyang,Pyongyang,39.0046949,125.7358714
745,Brazil,São Paulo,Campinas,-22.9056391,-47.059564
746,-,-,-,N/A,N/A
747,Brazil,São Paulo,Osasco,-23.5324859,-46.7916801
748,Brazil,São Paulo,Piracicaba,-22.725165,-47.6493269
749,Brazil,São Paulo,Jundiaí,-23.1887668,-46.884506
750,-,-,-,N/A,N/A
751,Saudi Arabia,Eastern Province,Al Khobar,26.3039999,50.1960237
752,Hungary,-,Kecskemét,46.9073883,19.6917206
753,Hungary,-,Békéscsaba,46.6798003,21.0985425
754,Syria,Aleppo,Aleppo,36.19924,37.1637253
755,North Korea,Pyongannam-do,Namp'o,N/A,N/A
756,Brazil,São Paulo,Sorocaba,-23.5003451,-47.4582864
757,Brazil,São Paulo,Santos,-23.9335988,-46.3286399
758,Poland,Warmian-Masurian Voivodeship,Olsztyn,53.7766839,20.476507
759,Australia,Western Australia,Rockingham,-32.3006647,115.73939149665382
760,Australia,Western Australia,Mandurah,-32.5302495,115.7208782
761,Australia,Western Australia,Bunbury,-33.3267797,115.636698
762,-,-,-,N/A,N/A
763,-,-,-,N/A,N/A
764,Romania,Cluj,Cluj-Napoca,46.769379,23.5899542
765,-,-,-,N/A,N/A
766,Australia,Northern Territory,Katherine,-14.4646157,132.2635993
767,Iran,Markazi,Arak,34.0862719,49.6893884
768,-,-,-,N/A,N/A
769,-,-,-,N/A,N/A
770,-,-,-,N/A,N/A
771,-,-,-,N/A,N/A
772,-,-,-,N/A,N/A
773,-,-,-,N/A,N/A
774,-,-,-,N/A,N/A
775,Iran,East Azerbaijan,Bonab,37.3409239,46.050471
776,Czech Republic,-,Plzeň,49.7477415,13.3775249
777,Iran,East Azerbaijan,Miyaneh,N/A,N/A
778,-,-,-,N/A,N/A
779,-,-,-,N/A,N/A
780,-,-,-,N/A,N/A
781,-,-,-,N/A,N/A
782,-,-,-,N/A,N/A
783,-,-,-,N/A,N/A
784,-,-,-,N/A,N/A
785,-,-,-,N/A,N/A
786,-,-,-,N/A,N/A
787,-,-,-,N/A,N/A
788,South Africa,Western Cape,Cape Town,-33.9288301,18.4172197
789,-,-,-,N/A,N/A
790,-,-,-,N/A,N/A
791,Iran,Chaharmahal and Bakhtiari,Shahr-e Kord,32.3257366,50.8497369
792,-,-,-,N/A,N/A
793,-,-,-,N/A,N/A
794,-,-,-,N/A,N/A
795,-,-,-,N/A,N/A
796,Iran,Kerman,Bam,29.1059864,58.3565663
797,-,-,-,N/A,N/A
798,Australia,Tasmania,Burnie,-41.0523688,145.9064073
799,-,-,-,N/A,N/A
800,Iran,North Khorasan,Bojnord,37.4759752,57.3319881
801,-,-,-,N/A,N/A
802,-,-,-,N/A,N/A
803,-,-,-,N/A,N/A
804,-,-,-,N/A,N/A
805,Iran,West Azerbaijan,Khoy,38.5504343,44.95354
806,-,-,-,N/A,N/A
807,-,-,-,N/A,N/A
808,Iran,Khuzestan,Masjed Soleyman,31.9461316,49.3013154
809,-,-,-,N/A,N/A
810,-,-,-,N/A,N/A
811,-,-,-,N/A,N/A
812,-,-,-,N/A,N/A
813,-,-,-,N/A,N/A
814,-,-,-,N/A,N/A
815,-,-,-,N/A,N/A
816,-,-,-,N/A,N/A
817,-,-,-,N/A,N/A
818,-,-,-,N/A,N/A
819,-,-,-,N/A,N/A
820,-,-,-,N/A,N/A
821,United States of America,Pennsylvania,York,39.962493,-76.7276989
822,Canada,British Columbia,Kelowna,49.8879177,-119.495902
823,-,-,-,N/A,N/A
824,-,-,-,N/A,N/A
825,-,-,-,N/A,N/A
826,-,-,-,N/A,N/A
827,-,-,-,N/A,N/A
828,-,-,-,N/A,N/A
829,Lithuania,Panevezys County,Panevėžys,55.7344985,24.3578055
830,Albania,-,Fier,40.7251118,19.5582079
831,Albania,-,Vlora,40.4707602,19.4912716
832,North Korea,Kangwon-do,Wonsan,39.1725946,127.4284243
833,Canada,British Columbia,Prince George,53.9128645,-122.7453699
834,Namibia,Khomas Region,Windhoek,-22.53356015,17.045477525861745
835,Namibia,Erongo Region,Walvis Bay,-22.9557607,14.5071125
836,Namibia,Erongo Region,Swakopmund,-22.6767841,14.5313988
837,Namibia,Omaheke Region,Gobabis,-22.4495283,18.9724666
838,South Africa,Northern Cape,Upington,-28.456325,21.241867
839,Switzerland,Geneva,Geneva,46.2017559,6.1466014
840,United States of America,South Carolina,Spartanburg,34.9498007,-81.9320157
841,Germany,Saxony-Anhalt,Magdeburg,52.1315889,11.6399609
842,-,-,-,N/A,N/A
843,Russian Federation,Krasnodar Krai,Sochi,43.5854823,39.723109
844,Romania,Caraș Severin,Reșița,45.2890106,21.8877676
845,Spain,Valencian Community,Valencia,39.4697065,-0.3763353
846,United States of America,Pennsylvania,Pittsburgh,40.4416941,-79.9900861
847,Russian Federation,Tula Oblast,Tula,54.1930321,37.61754
848,Russian Federation,Ingushetia,Nazran,43.2320774,44.7540128
849,-,-,-,N/A,N/A
850,Russian Federation,Sverdlovsk Oblast,Nizhny Tagil,57.905149,59.9508466
851,Russian Federation,Komi Republic,Vorkuta,67.5035662,64.0627028
852,Brazil,Federal District,Brasília,-15.7934036,-47.8823172
853,Brazil,Rio de Janeiro,Rio de Janeiro,-22.9110137,-43.2093727
854,Brazil,Bahia,Salvador,-12.9822499,-38.4812772
855,Poland,Subcarpathian Voivodeship,Rzeszów,50.013064,22.016143457294312
856,Somalia,Banadir,Mogadishu,N/A,N/A
857,United States of America,Tennessee,Clarksville,36.5277607,-87.3588703
858,Poland,Lesser Poland Voivodeship,Tarnów,50.025988299999995,20.96405842696229
859,Austria,Tyrol,Innsbruck,47.2654296,11.3927685
860,Austria,Salzburg (state),Salzburg,N/A,N/A
861,Switzerland,Vaud,Lausanne,46.5218269,6.6327025
862,Estonia,-,Johvi,59.3579433,27.4135654
863,Australia,Western Australia,Geraldton,-28.77035,114.6147159
864,United States of America,Florida,Gainesville,29.6519684,-82.3249846
865,Somalia,Bay,Baidoa,3.119951,43.644462
866,South Africa,Gauteng,Vereeniging,-26.6747222,27.9261111
867,Somalia,Bakool,Hudur,4.1237042,43.8915563
868,Somalia,Lower Shebelle,Merca,1.7148358,44.7699326
869,Somalia,Middle Shebelle,Jowhar,2.7797296,45.5042168
870,Somalia,Lower Shebelle,Afgooye,2.23548745,44.99694192797743
871,Somalia,Lower Shebelle,Qoryooley,1.789663,44.530629
872,Somalia,Lower Juba,Chisimayu,N/A,N/A
873,-,-,-,N/A,N/A
874,Somalia,Gedo,Baardheere,2.3372449,42.2849308
875,Somalia,Lower Juba,Jamame,0.0785706,42.749732676236185
876,-,-,-,N/A,N/A
877,Somalia,Middle Juba,Jilib,0.4937927,42.7764134
878,Somalia,Bay,Buurhakaba,2.794785,44.0784549
879,Somalia,Lower Shebelle,Wanlaweyn (Daafeed),N/A,N/A
880,-,-,-,N/A,N/A
881,Canada,Ontario,Guelph,43.5460516,-80.2493276
882,Slovenia,-,Maribor,46.5576439,15.6455854
883,Australia,Victoria,Geelong,-38.1493248,144.3598241
884,Russian Federation,Stavropol Krai,Stavropol,45.04077895,41.984846643710355
885,United States of America,South Carolina,Charleston,32.7884363,-79.9399309
886,United States of America,Tennessee,Nashville,36.1622767,-86.7742984
887,Bahrain,Capital Governorate,Manama,26.2235041,50.5822436
888,Ukraine,Donetsk Oblast,Donetsk,48.0158753,37.8013407
889,India,Punjab,Ludhiana,30.9090157,75.851601
890,-,-,-,N/A,N/A
891,Australia,New South Wales,Queanbeyan,-35.3524518,149.2337634
892,-,-,-,N/A,N/A
893,The Netherlands,Limburg,Maastricht,50.8512438,5.6909768
894,-,-,-,N/A,N/A
895,-,-,-,N/A,N/A
896,The Netherlands,North Brabant,Eindhoven,51.4392648,5.478633
897,Belgium,Flanders,Middelburg,51.2557439,3.4148228
898,Somalia,Bari,Bosaso,11.00261495,49.41072274526701
899,Somalia,Galgaduud,Dhuusamarreeb,5.5355913,46.3831085
900,Somalia,Hiiraan,Beledweyne,4.7367735,45.2038881
901,Somalia,Middle Juba,Bu'ale,1.1753415500000002,42.82510075813954
902,Somalia,Mudug,Galkayo,6.769726,47.430826
903,Somalia,Nugaal,Garowe,8.406143,48.483195
904,Somalia,Sanaag,Erigavo,10.61806,47.37
905,-,-,-,N/A,N/A
906,Somalia,Sool,Laascaanood,8.474261,47.355194
907,Somalia,Togdheer,Burao,9.5277268,45.538018
908,-,-,-,N/A,N/A
909,Sri Lanka,Central Province,Nuwara Eliya,7.012402,80.75716115484704
910,The Netherlands,South Holland,Rotterdam,51.9244424,4.47775
911,Sri Lanka,Southern Province,Galle,6.0328139,80.214955
912,The Netherlands,Gelderland,Arnhem,51.984257,5.9108573
913,Australia,Western Australia,Port Hedland,-20.3111814,118.5801181
914,Kenya,Nakuru,Nakuru,-0.2802724,36.0712048
915,Kenya,Mombasa,Mombasa,-4.05052,39.667169
916,Kenya,Meru,Meru,0.0499786,37.6500063
917,Kenya,Kilifi,Malindi,-3.2295935,39.974975160447975
918,Kenya,Machakos,Machakos,-1.5212477,37.2660878
919,Kenya,Trans Nzoia,Kitale,1.018076,35.000236
920,Kenya,Kisii,Kisii,-0.6694119,34.7677944
921,Kenya,Kericho,Kericho,-0.3666,35.2833
922,Kenya,Kakamega,Kakamega,0.2833,34.75
923,Kenya,Tana River,Garissa,-0.47347743441595674,39.59846589146585
924,The Netherlands,Overijssel,Enschede,52.2209855,6.8940537
925,-,-,-,N/A,N/A
926,The Netherlands,Overijssel,Hengelo,52.2658726,6.7924049
927,The Netherlands,Overijssel,Almelo,52.3563585,6.6636219
928,The Netherlands,Flevoland,Almere,52.44175125,5.2092943104327585
929,Poland,Lesser Poland Voivodeship,Nowy Sącz,49.61030395,20.714936589668028
930,The Netherlands,Groningen,Groningen,N/A,N/A
931,-,-,-,N/A,N/A
932,-,-,-,N/A,N/A
933,United States of America,Washington,Everett,47.9793437,-122.2127011
934,United States of America,Washington,Vancouver,45.6306954,-122.6744557
935,South Africa,Limpopo,Musina,-22.3453519,30.0268526
936,United States of America,Washington,Spokane,47.6571934,-117.42351
937,-,-,-,N/A,N/A
938,Chile,Región Metropolitana de Santiago,Santiago,N/A,N/A
939,Chile,IV Región de Coquimbo,La Serena,N/A,N/A
940,Chile,IV Región de Coquimbo,Coquimbo,N/A,N/A
941,Chile,V Región de Valparaíso,Viña del Mar,N/A,N/A
942,Chile,VII Región del Maule,Talca,-35.4265343,-71.6660322
943,United States of America,Texas,El Paso,31.7601164,-106.4870404
944,Sri Lanka,Western Province,Colombo,6.9388614,79.8542005
945,-,-,-,N/A,N/A
946,-,-,-,N/A,N/A
947,South Africa,KwaZulu-Natal,Ladysmith,-28.5587291,29.7825044
948,Canada,British Columbia,Cranbrook,N/A,N/A
949,Canada,Alberta,Fort Saskatchewan,53.7128571,-113.214894
950,-,-,-,N/A,N/A
951,Canada,Alberta,Lloydminster,53.279995,-110.00885
952,Canada,Alberta,Cold Lake,N/A,N/A
953,South Africa,Limpopo,Mokopane,N/A,N/A
954,Spain,Catalonia,Badalona,N/A,N/A
955,Ireland,-,Waterford,N/A,N/A
956,Canada,Saskatchewan,Estevan,N/A,N/A
957,-,-,-,N/A,N/A
958,-,-,-,N/A,N/A
959,Canada,Saskatchewan,Humboldt,N/A,N/A
960,Canada,Saskatchewan,North Battleford,N/A,N/A
961,Canada,Saskatchewan,Prince Albert,N/A,N/A
962,Canada,British Columbia,Pitt Meadows,N/A,N/A
963,Canada,British Columbia,Vancouver,N/A,N/A
964,Canada,British Columbia,Burnaby,N/A,N/A
965,Canada,British Columbia,Squamish,N/A,N/A
966,Canada,British Columbia,Quesnel,N/A,N/A
