ID,Country,Region,City,Latitude,Longitude
205,Slovakia,Region of Trenčín,Trenčín,48.8922719,18.0387465
206,Slovakia,Region of Prešov,Prešov,49.0000074,21.2392122
207,Slovakia,Region of Trnava,Trnava,48.3767652,17.5858175
208,Slovakia,Region of Banská Bystrica,Banská Bystrica,48.7383895,19.1585805
209,-,-,-,N/A,N/A
210,-,-,-,N/A,N/A
211,Iran,East Azerbaijan,Tabriz,38.0718124,46.2280994
212,-,-,-,N/A,N/A
213,Iran,Qazvin,Qazvin,36.2804074,50.006663
214,-,-,-,N/A,N/A
215,-,-,-,N/A,N/A
216,-,-,-,N/A,N/A
217,United States of America,Pennsylvania,Harrisburg,40.2663107,-76.8861122
218,Ukraine,Kyiv,Kyiv,50.4485578,30.52716228586082
219,Ukraine,Chernihiv Oblast,Chernihiv,51.494099,31.294332
220,Ukraine,Odessa Oblast,Odessa,46.4843023,30.7322878
221,Ukraine,Lviv Oblast,Lviv,49.841952,24.0315921
222,Belarus,Homiel Raion,Homel,52.0807449,29.2398044
223,Belarus,Minsk,Minsk,53.91546485,27.550809285764124
224,-,-,-,N/A,N/A
225,Canada,Ontario,Niagara Falls,43.1065603,-79.0639039
226,Romania,Mureș,Târgu Mureș,46.5446253,24.561196
227,Canada,Ontario,St. Catharines,43.1579812,-79.2441003
228,Germany,North Rhine-Westphalia,Bonn,50.7352621,7.1024635
229,Cuba,Havana,Havana,23.135305,-82.3589631
230,Iran,West Azerbaijan,Urmia,37.548341,45.0667111
231,-,-,-,N/A,N/A
232,South Africa,Gauteng,Roodepoort,-26.1563889,27.8858333
233,Poland,Pomeranian Voivodeship,Gdańsk,54.3482907,18.6540233
234,Poland,Pomeranian Voivodeship,Gdynia,54.52333035,18.604027892041863
235,South Africa,Gauteng,Germiston,-26.229444,28.180556
236,South Africa,Gauteng,Boksburg,-26.2124639,28.2617471
237,-,-,-,N/A,N/A
238,Iran,Kerman,Kahnuj,27.9502255,57.7025775
239,Turkey,Adana,Adana,36.9863599,35.3252861
240,Turkey,Hakkâri,Hakkâri,37.5766959,43.7377862
241,Turkey,Van,Van,38.500875,43.3946051
242,Turkey,Iğdır,Iğdır,39.9218784,44.0467957
243,Turkey,Hatay,Antakya,36.2036546,36.1637648
244,Turkey,Kahramanmaraş,Kahramanmaraş,37.5812744,36.927509
245,Turkey,Mersin,Mersin,36.7978381,34.6298391
246,Turkey,Osmaniye,Osmaniye,37.0733588,36.2507673
247,Turkey,Aksaray,Aksaray,38.3705416,34.026907
248,Turkey,Çankırı,Çankırı,40.5971947,33.6212704
249,Turkey,Karaman,Karaman,37.1808502,33.2194554
250,Turkey,Kayseri,Kayseri,38.7219011,35.4873214
251,Turkey,Kırıkkale,Kırıkkale,39.8410483,33.5058536
252,Turkey,Kırşehir,Kırşehir,39.1461142,34.1605587
253,Turkey,Nevşehir,Nevşehir,38.6250389,34.7150685
254,Turkey,Niğde,Niğde,37.969849,34.6764495
255,Turkey,Sivas,Sivas,39.74698465,37.039647876916774
256,Turkey,Yozgat,Yozgat,39.8221974,34.8080972
257,Turkey,Amasya,Amasya,40.6503248,35.8329148
258,Turkey,Artvin,Artvin,41.1830811,41.8287448
259,Turkey,Bartın,Bartın,41.6350461,32.3366205
260,Turkey,Bayburt,Bayburt,40.2551608,40.2205036
261,Turkey,Çorum,Çorum,40.5498762,34.9537362
262,Turkey,Giresun,Giresun,40.9174453,38.3847864
263,Turkey,Gümüşhane,Gümüşhane,40.4617844,39.4757339
264,Turkey,Karabük,Karabük,41.1955402,32.6231154
265,Turkey,Kastamonu,Kastamonu,41.3765359,33.7770087
266,Turkey,Ordu,Ordu,40.9852301,37.8797732
267,Turkey,Rize,Rize,41.0248249,40.5199142
268,Turkey,Samsun,Samsun,41.2946149,36.3320596
269,Turkey,Sinop,Sinop,42.0265798,35.1511512
270,Turkey,Tokat,Tokat,40.3233534,36.552162
271,Turkey,Zonguldak,Zonguldak,41.4506981,31.7919867
272,Turkey,Ağrı,Ağrı,39.719125,43.0504894
273,Turkey,Ardahan,Ardahan,41.1102966,42.7035585
274,Turkey,Bingöl,Bingöl,38.8861265,40.4972333
275,Turkey,Bitlis,Bitlis,38.4020539,42.1084568
276,Turkey,Elazığ,Elazığ,38.6747164,39.2227135
277,Turkey,Muş,Muş,38.7322221,41.4898925
278,Turkey,Erzincan,Erzincan,39.7467552,39.49103
279,Turkey,Erzurum,Erzurum,39.90632,41.2727715
280,Turkey,Kars,Kars,40.6076749,43.0948497
281,Turkey,Malatya,Malatya,38.3487153,38.3190674
282,Turkey,Tunceli,Tunceli,39.1060641,39.5482693
283,Turkey,Adıyaman,Adıyaman,37.7602985,38.2772986
284,Turkey,Batman,Batman,37.8835738,41.1277565
285,Turkey,Diyarbakır,Diyarbakır,37.9162222,40.2363542
286,Turkey,Gaziantep,Gaziantep,37.0628317,37.3792617
287,Turkey,Kilis,Kilis,36.7165552,37.1146069
288,Turkey,Mardin,Mardin,37.3132581,40.7354383
289,Turkey,Şanlıurfa,Şanlıurfa,37.1596239,38.791929
290,Turkey,Siirt,Siirt,37.9273623,41.94218
291,Turkey,Şırnak,Şırnak,37.548722,42.36187880016271
292,United States of America,Texas,Dallas,32.7762719,-96.7968559
